mtx,rows,cols,nnz,alpha_1(ms),alpha_2(ms),alpha_3(ms),alpha_4(ms),alpha_5(ms),cu_1(ms),cu_2(ms),cu_3(ms)
nos6.mtx,675,675,3255,1.08673,0.516328,0.520204,0.506914,,0.51748,0.516404,0.516253
nos7.mtx,729,729,4617,,0.520808,0.519296,0.517348,0.224484,0.0384005,0.513395,0.509928
NotreDame_actors.mtx,392400,127823,1470404,168.55,5.43742,5.15753,6.48464,3615.52,109.92,109.03,109.151
NotreDame_www.mtx,325729,325729,929849,192.782,3.94867,3.8109,4.99007,,100.178,100.515,100.391
NotreDame_yeast.mtx,2114,2114,4480,1.14109,0.496106,0.398328,0.405814,297.559,,0.682665,0.676265
N_pid.mtx,3625,3923,8054,1.05118,0.82424,0.451689,0.349767,297.363,1.02299,1.01173,1.0232
N_reactome.mtx,10204,16559,43816,7.67646,1.0086,0.862967,0.963445,593.103,2.7913,2.76709,2.83139
ns3Da.mtx,20414,20414,1679599,6.35267,2.76056,2.90321,3.15056,8.38379,2.79944,2.57792,2.46369
nsct.mtx,23003,37563,697738,7.33696,1.93618,1.97618,2.21387,4.05214,4.20317,3.27082,3.39132
nsic.mtx,465,897,3449,0.53374,0.520113,0.511426,0.514939,295.314,0.51446,0.519826,0.520202
nsir.mtx,4453,10057,154939,2.15905,0.991515,0.181029,0.96781,581.076,2.90339,2.70046,2.0141
nug08-3rd.mtx,19728,29856,148416,,1.10928,1.12653,1.06619,575.692,5.64528,5.62675,5.6253
nv2010.mtx,84538,84538,416998,41.5316,2.29326,2.17715,2.21932,2.04554,23.9227,23.976,24.0581
nw14.mtx,73,123409,904910,29.1869,17.2186,16.1958,64.7258,3374.4,22.4536,11.4602,11.4158
ny2010.mtx,350169,350169,1709544,65.6964,5.24633,4.97304,4.34345,3113.12,98.434,98.5872,100.375
obstclae.mtx,40000,40000,197608,20.2468,1.63684,1.60216,1.7011,,11.4456,11.61,11.4542
odepa400.mtx,400,400,1201,0.520825,0.514979,0.470127,0.518603,0.223736,0.518639,0.518034,0.511812
odepb400.mtx,400,400,399,0.520666,0.521908,0.518195,0.520417,296.22,0.513841,0.515741,0.516826
ODLIS.mtx,2909,2909,18246,1.07022,,0.459647,0.417366,295.884,1.07315,0.946207,1.0768
offshore.mtx,259789,259789,4242673,84.9495,6.01051,6.22168,5.20333,458.981,24.8471,,
oh2010.mtx,365344,365344,1768240,,5.46604,5.02604,4.09772,3261.5,105.649,105.34,105.549
ohne2.mtx,181343,181343,11063545,28.0303,9.20811,9.27665,8.33627,43.3563,156.562,,42.037
oilpan.mtx,73752,73752,3597188,,4.01005,4.29092,3.8617,11.7585,79.6724,,
ok2010.mtx,269118,269118,1274148,112.17,4.45365,4.18394,3.77293,2885.84,,77.0612,76.9141
olafu.mtx,16146,16146,1015156,11.8574,1.86843,2.12824,1.88854,2068.78,16.0588,5.11353,13.9667
olesnik0.mtx,88263,88263,744216,63.698,2.68784,2.71593,2.31804,2.80441,26.6961,26.623,26.7604
olm1000.mtx,1000,1000,3996,1.17773,0.166002,0.480966,0.480433,0.22603,0.481606,0.473997,0.479986
