mtx,rows,cols,nnz,alpha_1(ms),alpha_2(ms),alpha_3(ms),alpha_4(ms),alpha_5(ms),cu_1(ms),cu_2(ms),cu_3(ms)
n2c6-b1.mtx,105,15,210,0.0148624,0.0305605,0.0326404,0.0224642,0.0287044,0.0165333,0.0148401,0.0145781
n2c6-b2.mtx,455,105,1365,0.0143289,0.0377602,0.0309122,0.0250403,0.0305583,0.0134758,0.0135292,0.0136534
n2c6-b3.mtx,1365,455,5460,0.0150579,0.0322562,0.0369928,0.0259847,0.0315204,0.0137423,0.0137069,0.0137959
n2c6-b4.mtx,3003,1365,15015,0.0157603,0.0405445,0.0368324,0.0270883,0.033248,0.014098,0.014169,0.014187
n2c6-b5.mtx,4945,3003,29670,0.0164091,0.0379686,0.0406564,0.0287845,0.034976,0.0150047,0.0148091,0.0148269
n2c6-b6.mtx,5715,4945,40005,0.0167468,0.0440802,0.0362882,0.0295362,0.0352322,0.015129,0.0152536,0.015143
n2c6-b7.mtx,3990,5715,31920,0.0162312,0.0346727,0.0405285,0.029104,0.0336806,0.0145422,0.0148001,0.0147558
n2c6-b8.mtx,1470,3990,13230,0.0164005,0.0407042,0.0371045,0.0294565,0.0326886,0.014969,0.0151647,0.015129
n2c6-b9.mtx,306,1470,3060,0.0157157,0.0349926,0.0365513,0.0295519,0.0306853,0.0148624,0.0150401,0.0150801
n3c4-b1.mtx,15,6,30,0.0145278,0.0300956,0.0322237,0.022992,0.0233763,0.0137352,0.0139371,0.0142578
n3c4-b2.mtx,20,15,60,0.0146676,0.0348811,0.028257,0.0236486,0.0236967,0.0135685,0.0138674,0.0136643
n3c4-b3.mtx,15,20,60,0.0144962,0.0281925,0.0323682,0.0240002,0.0240325,0.013849,0.0140802,0.0140802
n3c4-b4.mtx,6,15,30,0.0146468,0.0332169,0.030753,0.0246565,0.0235206,0.0142082,0.0140802,0.0138882
n3c5-b1.mtx,45,10,90,0.0149603,0.0305283,0.032784,0.0221762,0.0252645,0.0141602,0.0142241,0.0150936
n3c5-b2.mtx,120,45,360,0.0150581,0.0353445,0.0285123,0.0229285,0.0281604,0.0162138,0.0148803,0.01558
n3c5-b3.mtx,210,120,840,0.0151042,0.0286082,0.0333442,0.0231468,0.0279523,0.014898,0.014809,0.0142578
n3c5-b4.mtx,252,210,1260,0.0153067,0.0356004,0.031336,0.0238756,0.028945,0.0150403,0.0157158,0.014944
n3c5-b5.mtx,210,252,1260,0.0150083,0.0310406,0.033904,0.0245442,0.0283529,0.0159362,0.0150223,0.0145603
n3c5-b6.mtx,120,210,840,0.01622,0.0359681,0.0292322,0.025024,0.0286081,0.0140604,0.0144003,0.01426
n3c5-b7.mtx,30,120,240,0.0150222,0.0289605,0.0331045,0.0264004,0.0276005,0.0143467,0.0137761,0.01386
n3c6-b10.mtx,675,2511,7425,0.0156447,0.0384163,0.0337953,0.0299709,0.0311044,0.0147911,0.0150222,0.0149513
n3c6-b11.mtx,60,675,720,0.0162669,0.0308645,0.0337285,0.0288483,0.0288643,0.0151361,0.0155378,0.0152161
n3c6-b1.mtx,105,105,210,0.0153244,0.0304804,0.0324805,0.0224166,0.0287208,0.0140404,0.0147362,0.016352
n3c6-b2.mtx,455,105,1365,0.0143824,0.0376328,0.0308486,0.0250404,0.0305123,0.0135469,0.0136538,0.0136533
n3c6-b3.mtx,1365,455,5460,0.014986,0.0322392,0.0369283,0.0260004,0.0315684,0.013618,0.0138136,0.0138491
n3c6-b4.mtx,3003,1365,15015,0.015858,0.0405926,0.036848,0.0269923,0.0333289,0.0140623,0.0141334,0.0142402
n3c6-b5.mtx,5005,3003,30030,0.0163557,0.0380165,0.0406244,0.02912,0.0344644,0.0148801,0.0149512,0.015129
n3c6-b6.mtx,6435,5005,45045,0.0167648,0.0446563,0.0365284,0.0302951,0.0353122,0.015307,0.0153246,0.0153959
n3c6-b7.mtx,6435,6435,51480,0.016836,0.0355525,0.0417125,0.0310884,0.0343365,0.0152358,0.0153423,0.0153424
n3c6-b8.mtx,4935,6435,44415,0.017618,0.0444007,0.0394726,0.0310406,0.0340965,0.0165334,0.0166579,0.0164979
n3c6-b9.mtx,2511,4935,25110,0.0166401,0.0372326,0.0389447,0.0300647,0.0329609,0.0154849,0.0156092,0.0156623
n4c5-b10.mtx,120,630,1320,0.0160713,0.0358406,0.031041,0.027616,0.0283526,0.0159991,0.0154403,0.0160358
n4c5-b11.mtx,10,120,120,0.0154562,0.0300963,0.0327201,0.0289761,0.0254883,0.0145442,0.0148002,0.0147523
n4c5-b1.mtx,105,15,210,0.0154722,0.0308165,0.0323844,0.0223647,0.0287525,0.0150403,0.0165001,0.0145958
n4c5-b2.mtx,455,105,1365,0.0143261,0.0378042,0.0308964,0.0250243,0.0303685,0.0135469,0.0136891,0.0136713
n4c5-b3.mtx,1350,455,5400,0.0150046,0.0322405,0.0368965,0.0260269,0.0313763,0.0135468,0.0137423,0.0137602
n4c5-b4.mtx,2852,1350,14260,0.0157513,0.0407682,0.0367364,0.0270565,0.0331366,0.0142046,0.014169,0.0141513
n4c5-b5.mtx,4340,2852,26040,0.0164642,0.037584,0.0400484,0.0285923,0.0343363,0.014578,0.0147201,0.0146846
n4c5-b6.mtx,4735,4340,33145,0.0164447,0.0441125,0.0361123,0.0293283,0.0353925,0.0150378,0.0151154,0.015129
n4c5-b7.mtx,3635,4735,29080,0.0161067,0.0345445,0.0404806,0.0292165,0.0335207,0.0147404,0.014845,0.0147203
n4c5-b8.mtx,1895,3635,17055,0.016569,0.0413765,0.0376325,0.029344,0.0328805,0.0150047,0.0151823,0.0152002
n4c5-b9.mtx,630,1895,6300,0.0155736,0.03462,0.0362674,0.0294725,0.030667,0.0146492,0.0149691,0.0149336
n4c6-b10.mtx,132402,186558,1456422,0.0893609,0.274962,0.217394,0.130741,0.192658,0.0966891,0.0941614,0.0930407
n4c6-b11.mtx,69235,132402,830820,0.0561128,0.121698,0.15117,0.0865611,0.119265,0.0588487,0.0574726,0.0571526
n4c6-b12.mtx,25605,69235,332865,0.0321764,0.082065,0.076865,0.0512646,0.0646086,0.032655,0.0327046,0.0327045
n4c6-b13.mtx,6300,25605,88200,0.019424,0.0427686,0.0435045,0.0355364,0.0361284,0.0181872,0.0187363,0.0187523
n4c6-b14.mtx,920,6300,13800,0.0160357,0.0376964,0.0348323,0.0322085,0.0324643,0.0149869,0.015289,0.0152179
n4c6-b15.mtx,60,920,960,0.0160889,0.0297447,0.033344,0.0307208,0.0287529,0.016376,0.0156546,0.0154854
