mtx,rows,cols,nnz,rocsparse_vector(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
SiNa.mtx,5743,5743,198787,0.097599787,0.023560885,0.275341984,0.043376709,0.030896709,0.050046468,0.038341576,0.036435302
sinc12.mtx,7500,7500,294986,0.086737577,0.022811116,0.228544378,0.057103002,0.027183024,0.041581359,0.039356245,0.040407408
sinc15.mtx,11532,11532,568526,0.090264566,0.0294195,0.28930994,0.075382451,0.032541349,0.049857811,0.046264436,0.047196232
sinc18.mtx,16428,16428,973826,0.106097889,0.041923674,0.35021064,0.092162171,0.0408432,0.062020691,0.056116119,0.056818166
SiO2.mtx,155331,155331,11283503,0.461949436,0.306607902,3.246133431,0.747508309,0.456596431,0.944145683,0.384637422,0.306485657
SiO.mtx,33401,33401,1317655,0.118070941,0.058644514,0.514071415,0.128336134,0.07681845,0.095085629,0.067545071,0.064284603
sit100.mtx,10262,10262,61046,0.027281867,0.016612047,0.028116683,0.043019482,0.017121858,0.032335202,0.034527617,0.036281478
skirt.mtx,12598,12598,196520,0.045539047,0.021719058,0.077357744,0.04444464,0.023384715,0.036043772,0.036105961,0.037028513
slptsk.mtx,2861,3347,72465,0.062364802,0.017944185,0.105411073,0.041345101,0.025661383,0.033759963,0.03212608,0.031841837
sls.mtx,1748122,62729,6804304,0.267651563,0.261551561,0.451163576,0.732085118,0.287263617,0.296715919,0.345065912,0.435258398
SmaGri.mtx,1059,1059,4919,0.060299968,0.044493288,0.116825593,0.040339677,0.041300734,0.043479414,0.033650409,0.038912291
small.mtx,677,1400,3207,0.027354612,0.01643545,0.027426783,0.035008624,0.016135565,0.026516404,0.028280673,0.030481169
SmallW.mtx,396,396,994,0.053841779,0.042938292,0.065171781,0.031550548,0.024664706,0.03401605,0.03098214,0.033415696
smallworld.mtx,100000,100000,999996,0.053800406,0.052248097,0.218740755,0.125577904,0.042896458,0.064380344,0.067957922,0.071502999
sme3Da.mtx,12504,12504,874887,0.16175869,0.052701744,0.519977284,0.095543426,0.076025585,0.080471571,0.069403281,0.068429829
sme3Db.mtx,29067,29067,2081063,0.174072018,0.109299071,0.726098907,0.184708909,0.137013416,0.133079656,0.128672775,0.127694473
sme3Dc.mtx,42930,42930,3148656,0.225378067,0.159982176,0.966383431,0.255374335,0.181099581,0.182167103,0.178706292,0.177593924
smt.mtx,25710,25710,3753184,0.233106558,0.095717086,0.678326086,0.244770704,0.100628735,0.174672842,0.111685144,0.110018842
soc-Epinions1.mtx,75888,75888,508837,0.309942347,0.291576666,1.172246412,0.090195562,0.324096387,0.124829761,0.077725455,0.100550627
soc-sign-epinions.mtx,131828,131828,841372,0.365884942,0.32831928,1.201665592,0.226218354,0.354390744,0.225019082,0.101584034,0.111307331
soc-sign-Slashdot081106.mtx,77357,77357,516575,0.132621228,0.099384741,0.353209087,0.0919982,0.11348008,0.083665694,0.073333683,0.085725983
soc-sign-Slashdot090216.mtx,81871,81871,545671,0.139135235,0.104238105,0.357886045,0.093057502,0.126715846,0.082499862,0.074523706,0.085741043
soc-sign-Slashdot090221.mtx,82144,82144,549202,0.138131621,0.103993323,0.358867129,0.092975059,0.12707682,0.084036626,0.0760655,0.087040457
soc-Slashdot0811.mtx,77360,77360,905468,0.249922474,0.231758574,1.181398353,0.116598097,0.398942929,0.122335197,0.088524151,0.091982967
soc-Slashdot0902.mtx,82168,82168,948464,0.265718691,0.233358204,1.180575834,0.117540088,0.437284318,0.125683134,0.092748063,0.096628018
south31.mtx,18425,36321,112398,0.050456609,0.040572391,0.081618634,0.045434398,0.030763445,0.044100424,0.038927811,0.046025453
spaceShuttleEntry_1.mtx,560,560,6891,0.063297418,0.048523043,0.183476223,0.036948963,0.052674224,0.056034413,0.033809078,0.031280144
spaceShuttleEntry_2.mtx,1428,1428,24073,0.103302744,0.069366044,0.461996104,0.040249526,0.109898287,0.082355054,0.042757412,0.035484415
spaceShuttleEntry_3.mtx,1834,1834,28757,0.168704809,0.133853723,0.559045092,0.040719231,0.138491842,0.098993098,0.047209645,0.038268782
spaceShuttleEntry_4.mtx,2450,2450,39669,0.144046886,0.109463431,0.739369088,0.041278425,0.178383446,0.099849605,0.04815473,0.03911243
spaceStation_10.mtx,1272,1272,17478,0.046902045,0.024987883,0.06805028,0.040597323,0.027184834,0.039079645,0.031572188,0.031900331
spaceStation_11.mtx,1364,1364,18954,0.048908058,0.025838272,0.074506328,0.040777908,0.027628227,0.039663465,0.031505303,0.032893829
spaceStation_12.mtx,1410,1410,19728,0.047923975,0.026341774,0.077288478,0.040366713,0.028423052,0.040372909,0.032173234,0.031919205
spaceStation_13.mtx,1617,1617,23649,0.051529499,0.028096843,0.095156089,0.040791123,0.029508209,0.041807319,0.032504893,0.031491586
spaceStation_14.mtx,1640,1640,24324,0.051421957,0.028361699,0.097311765,0.040870918,0.030605119,0.042460858,0.032719891,0.032719825
spaceStation_1.mtx,99,99,927,0.019790988,0.015399439,0.021664446,0.029152319,0.016080489,0.024093567,0.024442013,0.025497153
spaceStation_2.mtx,329,329,5817,0.040301796,0.016144566,0.04289222,0.036599522,0.020591879,0.026388851,0.02580442,0.026270212
spaceStation_3.mtx,467,467,5103,0.037791462,0.017637818,0.044482411,0.037155557,0.019039979,0.028239083,0.026665482,0.027573351
spaceStation_4.mtx,950,950,13626,0.046265502,0.022491792,0.083094993,0.037667105,0.023462683,0.031590149,0.027685528,0.028904836
spaceStation_5.mtx,1019,1019,15219,0.049057942,0.02267119,0.090972127,0.037871115,0.023936773,0.033948363,0.028275858,0.028932167
spaceStation_6.mtx,1111,1111,17595,0.044063896,0.023976829,0.063748961,0.040257262,0.025429277,0.036983632,0.031113783,0.031502619
spaceStation_7.mtx,1134,1134,18252,0.048494639,0.020181581,0.066429488,0.040346344,0.025718471,0.037238264,0.030830456,0.031017263
spaceStation_8.mtx,1157,1157,18945,0.048067226,0.020248573,0.067777509,0.040746273,0.025235051,0.037581382,0.031258533,0.031562927
spaceStation_9.mtx,1180,1180,19674,0.04868862,0.02030152,0.069937702,0.040480232,0.026040567,0.037596492,0.031057313,0.032273146
sparsine.mtx,50000,50000,1548988,0.110126075,0.096557014,0.297716903,0.164951497,0.09360971,0.112073365,0.11039588,0.109380924
specular.mtx,477976,1600,7647616,0.218905525,0.218793181,1.523156255,0.559609612,0.220361075,0.222330777,0.22380941,0.235720185
sphere2.mtx,66,66,450,0.01688397,0.01440023,0.017014197,0.027204304,0.014939495,0.022515198,0.022564874,0.023563911
sphere3.mtx,258,258,1794,0.02120229,0.014805889,0.018802272,0.028169899,0.015055135,0.024821174,0.026293227,0.028029498
spiral.mtx,1434,1434,18228,0.043446395,0.022701642,0.097850856,0.040366014,0.047556308,0.034184219,0.031842611,0.035616693
spmsrtls.mtx,29995,29995,229947,0.027110201,0.021491259,0.03769107,0.046882928,0.020950783,0.038157478,0.040595816,0.042352455
srb1.mtx,54924,54924,2962152,0.120851839,0.101491485,0.626926531,0.230243031,0.077802818,0.115405344,0.101816162,0.096293707
sstmodel.mtx,3345,3345,22749,0.030551297,0.016572461,0.034193623,0.041667773,0.017220803,0.030097341,0.032258591,0.035241656
Stanford_Berkeley.mtx,683446,683446,7583376,7.381564039,7.075374709,29.09152847,0.829561194,10.02543052,0.670565534,0.319315517,0.320317986
Stanford.mtx,281903,281903,2312497,3.448919387,3.230773207,15.15775226,0.293425341,2.930553707,0.282895031,0.222255647,0.223217681
stat96v1.mtx,5995,197472,588798,0.203038729,0.043801372,0.577780874,0.072726972,0.03627207,0.091616594,0.056875106,0.050960732
stat96v2.mtx,29089,957432,2852184,0.244114028,0.175665899,1.333030476,0.206489506,0.11161632,0.177240759,0.116499387,0.107793258
stat96v3.mtx,33841,1113780,3317736,0.253295402,0.207989671,1.45220951,0.233112393,0.144762189,0.19006461,0.127980842,0.1194459
stat96v4.mtx,3173,63076,491336,0.672744151,0.953574624,15.4885649,0.095343251,1.127331131,0.118216252,0.065129223,0.056186105
stat96v5.mtx,2307,75779,233921,0.176873068,0.020606756,0.467246728,0.041553953,0.032644058,0.040852513,0.036932535,0.036071093
std1_Jac2_db.mtx,21982,21982,498771,0.098739298,0.037356346,0.248282381,0.063178795,0.192520335,0.057934974,0.056173051,0.069232816
