mtx,rows,cols,nnz,cusparse_0(ms),cusparse_2(ms),cusparse_3(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
airfoil_2d.mtx,14214,14214,259688,0.014157526,0.014174021,0.019778939,0.008626474,0.013922939,0.015254204,0.007976907,0.01228701,0.012334186,0.012398333
ak2010.mtx,45292,45292,217098,0.020730333,0.020821113,0.027483052,0.017186285,0.046571518,0.020995958,0.015392333,0.019888,0.019139629,0.020163959
al2010.mtx,252266,252266,1230482,0.035660541,0.035374737,0.036890285,0.029991667,0.028540082,0.035897524,0.033652333,0.033811056,0.036806112,0.0402484
Alemdar.mtx,6245,6245,42581,0.014296566,0.014351021,0.019693901,0.006483874,0.008466612,0.014749737,0.006615,0.011497142,0.011936659,0.012579666
amazon0302.mtx,262111,262111,1234877,0.037204766,0.037076766,0.044020211,0.024894061,0.028306424,0.038007273,0.02964202,0.032321959,0.034608653,0.038582949
amazon0312.mtx,400727,400727,3200440,0.0514464,0.05103328,0.064046868,0.047442667,0.066873599,0.06995872,0.052515232,0.056491,0.058517667,0.065170286
amazon0505.mtx,410236,410236,3356824,0.04977664,0.0500112,0.062477119,0.061749582,0.0661392,0.071133715,0.051249297,0.056092082,0.057935619,0.06611872
amazon0601.mtx,403394,403394,3387388,0.05178176,0.05184672,0.0645232,0.06433088,0.06898752,0.07306816,0.055224566,0.059476245,0.06236,0.06866592
amazon-2008.mtx,735323,735323,5158388,0.058324093,0.058367644,0.07277376,0.077103158,0.067646946,0.08509312,0.0866784,0.078685414,0.08603296,0.09765216
Andrews.mtx,60000,60000,760154,0.027420444,0.027530556,0.035824485,0.019260445,0.025733279,0.028393796,0.018297402,0.024965278,0.024942041,0.025923918
apache1.mtx,80800,80800,542184,0.017725867,0.021416,0.025245235,0.017780889,0.016945735,0.025658483,0.019158182,0.024393354,0.026057684,0.02725044
apache2.mtx,715176,715176,4817870,0.05540544,0.05540928,0.07086272,0.0634704,0.0510144,0.07391168,0.085574719,0.07748096,0.08618048,0.095842239
appu.mtx,14000,14000,1853104,0.026538667,0.026545778,0.033961051,0.018128327,0.190120321,0.03262912,0.019750142,0.027365495,0.02448032,0.024376889
ar2010.mtx,186211,186211,904310,0.025572245,0.025583505,0.032397576,0.018701474,0.018369979,0.023488,0.02191,0.024025043,0.025901075,0.028889667
arc130.mtx,130,130,1282,0.012106675,0.011960908,0.012474761,0.007469622,0.018624923,0.010618428,0.006627995,0.01075102,0.010432348,0.010775282
as-22july06.mtx,22963,22963,96872,0.023507954,0.023565552,0.02248992,0.044857473,0.334249997,0.022740899,0.099110409,0.026153207,0.022733764,0.026296852
AS365.mtx,3799275,3799275,22736152,0.306690879,0.306591359,0.324495681,0.388230718,0.383661761,0.393672961,0.312489281,0.343040001,0.377770241,0.417458882
as-735.mtx,7716,7716,26467,0.014071092,0.01408429,0.019861978,0.039844788,0.130440997,0.014991335,0.014054859,0.015780947,0.013390822,0.015635666
