mtx,rows,cols,nnz,rocsparse_vector(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
Maragal_4.mtx,1964,1034,26719,0.085972618,0.060166952,0.293225491,0.036877038,0.232785471,0.062629213,0.03588319,0.032904301
Maragal_5.mtx,4654,3320,93091,0.164508499,0.077066648,0.831975619,0.040804858,0.84593191,0.094535742,0.046861263,0.039168067
Maragal_6.mtx,21255,10152,537694,0.293888103,0.265500171,2.881069496,0.061751338,4.232844469,0.104597091,0.057054864,0.05080614
Maragal_7.mtx,46845,26564,1200537,0.468414685,0.429346666,4.747898512,0.09827287,6.507046147,0.133973634,0.074527717,0.066793845
Maragal_8.mtx,33212,75077,1308415,0.281206582,0.165166981,3.684186815,0.106631592,0.418516956,0.142697298,0.081061989,0.072995798
mario001.mtx,38434,38434,206156,0.025995325,0.020696559,0.027366628,0.044474949,0.020914184,0.036044712,0.040082819,0.04435329
mario002.mtx,389874,389874,2101242,0.07746471,0.075989118,0.180618187,0.124869985,0.075597303,0.087997658,0.101652618,0.120482502
mark3jac020.mtx,9129,9129,56175,0.035654193,0.019595815,0.035200721,0.041443113,0.019412255,0.033262959,0.033617172,0.034928283
mark3jac020sc.mtx,9129,9129,56175,0.035666644,0.01957669,0.035196255,0.04140374,0.019403944,0.033288978,0.033609659,0.03492064
mark3jac040.mtx,18289,18289,113435,0.033965575,0.021250162,0.036015216,0.042953819,0.020572146,0.03532067,0.035802163,0.037176865
mark3jac040sc.mtx,18289,18289,113435,0.033971403,0.021247588,0.035949045,0.04293526,0.020560157,0.035213235,0.035761191,0.037042963
mark3jac060.mtx,27449,27449,170695,0.035007709,0.023134241,0.037710776,0.044039975,0.022063299,0.03574895,0.036370803,0.037840941
mark3jac060sc.mtx,27449,27449,170695,0.035046681,0.023126823,0.037798864,0.044058896,0.022071526,0.035862336,0.036387508,0.037871745
mark3jac080.mtx,36609,36609,227955,0.036653054,0.026523012,0.042308012,0.045950257,0.023696802,0.037751526,0.038866878,0.04046927
mark3jac080sc.mtx,36609,36609,227955,0.0368268,0.026648249,0.041084254,0.045951795,0.02370941,0.037772641,0.038844727,0.040570672
mark3jac100.mtx,45769,45769,285215,0.037949474,0.027825227,0.045172023,0.048762582,0.025169977,0.040669723,0.042819048,0.045728847
