filename,cow,col,nnz,alpha_mv_time_gather4[ms],mkl_mv_time_gather4[ms],alpha_mv_time_plain[ms],mkl_mv_time_plain[ms],alpha_mv_time_shuffle[ms],mkl_mv_time_shuffle[ms],alpha_mv_time_sse[ms],mkl_mv_time_sse[ms],alpha_mv_time_vgather[ms],mkl_mv_time_vgather[ms]
bcsstk17.mtx,10976,10976,428650,0.771642,0.291899,0.327026,0.295323,0.299144,0.289624,0.314981,0.295271,0.784564,0.291446
bcsstk18.mtx,11948,11948,149090,0.369611,0.208232,0.212739,0.206456,0.20954,0.205602,0.198066,0.224661,0.382835,0.206091
bcsstk19.mtx,820,820,6853,0.013454,0.012645,0.008467,0.011407,0.008455,0.011633,0.008092,0.007685,0.013964,0.016719
bcsstk20.mtx,488,488,3135,0.007048,0.00439,0.004905,0.004413,0.004809,0.004448,0.004678,0.004402,0.007293,0.006105
bcsstk21.mtx,3600,3600,26600,0.048114,0.030028,0.030704,0.053965,0.031007,0.031083,0.02997,0.030123,0.053113,0.030168
bcsstk22.mtx,140,140,696,0.002335,0.001902,0.002142,0.001904,0.002079,0.001508,0.001966,0.001461,0.002376,0.00186
bcsstk23.mtx,3136,3136,45178,0.091666,0.06085,0.048813,0.046441,0.044428,0.045636,0.050285,0.04479,0.092641,0.061547
bcsstk24.mtx,3564,3564,159910,0.284835,0.101699,0.116299,0.143275,0.462728,0.141928,0.103391,0.102113,0.287414,0.102494
bcsstk25.mtx,15440,15440,252241,0.542855,0.280952,0.312271,0.277072,0.28173,0.280436,0.277861,0.282913,0.553587,0.280684
bcsstk26.mtx,1924,1924,30336,0.061376,0.030128,0.031173,0.041167,0.029805,0.030257,0.028405,0.030251,0.062587,0.031347
bcsstk27.mtx,1224,1224,56126,0.100491,0.035499,0.041858,0.035482,0.041934,0.035412,0.036423,0.035536,0.10085,0.051071
bcsstk28.mtx,4412,4412,219024,0.390328,0.138468,0.15794,0.191208,0.141426,0.140245,0.149163,0.18273,0.391625,0.13728
bcsstk29.mtx,13992,13992,619488,1.161328,0.44721,0.497346,0.448368,0.454199,0.454286,0.80981,1.030178,1.168558,0.447041
bcsstk30.mtx,28924,28924,2043492,4.783643,1.680172,1.634731,1.602981,1.432713,2.327718,2.466404,2.658766,3.791846,1.631262
bcsstk31.mtx,35588,35588,1181416,2.268325,0.992625,1.129393,0.990899,0.974577,1.036911,1.621509,1.852211,2.342304,0.982494
bcsstk32.mtx,44612,44612,2014701,3.791849,2.180549,1.682638,1.633885,1.597437,1.657276,2.541158,3.374689,3.847373,1.705964
bcsstk33.mtx,8740,8740,591904,1.075131,0.378523,0.42882,0.375954,0.381169,0.378601,0.478476,0.847591,1.070449,0.393584
bcsstk34.mtx,588,588,21418,0.039339,0.015219,0.017457,0.020909,0.016035,0.020912,0.015615,0.016566,0.039805,0.015103
bcsstk35.mtx,30240,30240,1450163,2.669475,1.05173,1.124514,1.637187,1.037969,1.114106,1.886446,2.410366,2.664558,1.098518
bcsstk36.mtx,23052,23052,1143140,3.440092,0.819495,0.875908,0.818804,0.821486,0.8122,1.623238,1.416247,2.072723,0.804375
bcsstk37.mtx,25504,25504,1140977,2.107826,0.839709,0.898285,0.855072,0.81977,0.903678,1.798835,1.722124,2.100921,0.84347
bcsstk38.mtx,8032,8032,355460,0.695834,0.266959,0.295839,0.267796,0.273262,0.265788,0.270887,0.281696,0.68423,0.269321
bcsstk39.mtx,46772,46772,2089294,3.708365,1.56163,1.563586,1.60591,1.409319,1.572112,2.771952,2.545178,3.749137,1.567051
bcsstm01.mtx,48,48,48,0.001234,0.000647,0.001321,0.000638,0.001246,0.000787,0.001193,0.000599,0.001206,0.000621
bcsstm02.mtx,68,68,66,0.001364,0.000688,0.001351,0.000835,0.001226,0.00084,0.001299,0.000606,0.001308,0.000838
bcsstm03.mtx,112,112,112,0.002674,0.000892,0.001479,0.000788,0.00144,0.000772,0.001335,0.000682,0.001424,0.000769
bcsstm04.mtx,132,132,132,0.00148,0.000796,0.001655,0.000833,0.001428,0.001022,0.001376,0.000714,0.001465,0.00121
bcsstm05.mtx,156,156,153,0.001526,0.0011,0.001633,0.001117,0.001674,0.000876,0.001431,0.000765,0.001503,0.001113
bcsstm06.mtx,420,420,420,0.002291,0.001924,0.002376,0.001425,0.002468,0.00141,0.002083,0.001438,0.002224,0.001406
bcsstm07.mtx,420,420,7252,0.0157,0.006535,0.007361,0.006473,0.008125,0.006485,0.006813,0.006394,0.014769,0.006501
bcsstm08.mtx,1076,1076,1074,0.00415,0.002755,0.004307,0.002885,0.003962,0.002718,0.003681,0.002753,0.003734,0.003914
bcsstm09.mtx,1084,1084,1083,0.004179,0.003935,0.004416,0.003975,0.003748,0.002726,0.003739,0.002694,0.003756,0.002784
bcsstm10.mtx,1088,1088,22092,0.039344,0.024786,0.018806,0.024847,0.018186,0.017184,0.017585,0.018382,0.040807,0.01718
bcsstm11.mtx,1476,1476,1473,0.005298,0.003514,0.005549,0.0036,0.004811,0.00527,0.004782,0.003442,0.004847,0.00383
bcsstm12.mtx,1476,1476,19659,0.036516,0.017126,0.01868,0.01717,0.018145,0.026223,0.017397,0.017107,0.038509,0.024993
bcsstm13.mtx,2004,2004,21943,0.045827,0.021662,0.023865,0.027878,0.021912,0.021613,0.021426,0.021695,0.046607,0.027956
bcsstm19.mtx,820,820,817,0.003464,0.003151,0.003567,0.002449,0.003087,0.002242,0.003069,0.002103,0.00321,0.003128
